,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
207,Kudahuvadhoo,66,MV,1563590202,74,2.67,72.89,83.95,17.22
208,Fairbanks,75,US,1563590166,52,64.84,-147.72,68.0,4.7
209,Luba,100,PH,1563590203,75,17.32,120.7,84.49,8.21
210,Kavaratti,100,IN,1563590203,77,10.57,72.64,82.69,26.4
211,Komsomolets,0,RU,1563590204,88,52.77,41.29,58.03,10.04
212,Mirzapur,0,IN,1563590204,79,25.15,82.57,87.8,5.82
213,Saint-Pierre,0,FR,1563590204,77,48.95,4.24,60.8,9.17
214,Pampa,1,US,1563590205,31,35.54,-100.96,96.8,17.22
215,Sabha,0,LY,1563590205,29,27.03,14.43,79.27,12.88
216,Murgab,0,TM,1563589913,39,37.5,61.97,78.8,6.93
217,Yola,100,NG,1563590206,90,9.26,12.45,71.17,5.79
218,Broome,100,GB,1563590206,100,52.47,1.45,64.4,12.75
219,Cidreira,94,BR,1563590206,77,-30.17,-50.22,62.89,3.94
220,Honningsvag,0,NO,1563590207,82,70.98,25.97,52.45,10.92
221,Kahului,40,US,1563590181,61,20.89,-156.47,82.4,17.22
222,Ixtapa,90,MX,1563590207,100,20.71,-105.21,78.01,6.93
223,Longyearbyen,75,NO,1563590208,87,78.22,15.63,44.6,2.55
224,Villaviciosa,75,ES,1563590208,93,43.48,-5.43,66.0,3.36
225,Half Moon Bay,20,US,1563590208,82,37.46,-122.43,72.0,9.17
226,Northam,75,AU,1563590209,82,-31.65,116.67,55.4,4.7
227,Constantine,0,DZ,1563590209,52,36.36,6.61,69.8,2.24
228,Luganville,40,VU,1563590209,74,-15.51,167.18,78.8,6.93
229,Ostrovnoy,1,RU,1563590210,83,68.05,39.51,44.35,7.76
230,Tomatlan,100,MX,1563590210,82,19.93,-105.25,81.43,4.56
231,Venado Tuerto,0,AR,1563590210,95,-33.75,-61.97,46.99,5.37
232,Fuling,100,CN,1563590211,83,29.71,107.39,83.23,2.98
233,Guerrero Negro,0,MX,1563590211,84,27.97,-114.04,65.59,18.97
234,Aklavik,90,CA,1563590212,82,68.22,-135.01,59.0,11.41
235,Talara,12,PE,1563590052,89,-4.58,-81.27,63.25,16.75
236,Hambantota,75,LK,1563590212,74,6.12,81.12,82.4,21.92
237,Ayan,0,IR,1563590212,55,38.23,44.7,66.2,2.24
238,Dhar,75,IN,1563590213,83,22.6,75.31,78.8,4.7
239,Guarapari,75,BR,1563590213,93,-20.67,-40.5,62.6,3.36
240,Bud,0,NO,1563590214,93,62.91,6.91,53.6,4.7
241,Upernavik,100,GL,1563590214,94,72.79,-56.15,44.17,8.7
242,Beloha,0,MG,1563590214,87,-25.17,45.06,59.29,5.26
243,Nchelenge,3,ZM,1563590215,60,-9.35,28.74,58.21,9.13
244,Malanje,6,AO,1563590215,98,-9.54,16.35,54.97,3.2
245,Georgetown,20,GY,1563590182,100,6.8,-58.16,80.6,4.7
246,Scalea,0,IT,1563590216,92,39.82,15.79,66.0,1.99
247,Puerto Carreno,75,CO,1563590216,94,6.19,-67.49,77.0,2.73
248,Aldan,51,RU,1563590217,40,58.61,125.39,61.27,7.07
249,Chuy,0,UY,1563590155,95,-33.69,-53.46,55.87,5.91
250,Waipawa,100,NZ,1563590217,87,-39.94,176.59,52.0,7.0
251,Faya,0,SA,1563590218,21,18.39,42.45,73.4,3.36
252,Lebu,90,ET,1563590218,93,8.96,38.73,53.6,6.93
253,La Ronge,20,CA,1563590218,64,55.1,-105.3,68.0,16.11
254,Narsaq,22,GL,1563590219,81,60.91,-46.05,50.0,2.26
255,Gat,42,SN,1563590219,78,14.69,-16.54,73.4,5.82
256,Temple,1,US,1563590220,58,31.1,-97.34,89.6,13.87
257,Provideniya,95,RU,1563590220,81,64.42,-173.23,54.79,10.07
258,Baswa,14,IN,1563590221,45,27.15,76.58,93.49,4.59
259,Ryzdvyanyy,40,RU,1563590221,82,45.26,41.84,66.0,6.71
260,Torbay,20,CA,1563590221,81,47.66,-52.73,55.99,3.36
261,Cabedelo,75,BR,1563590222,100,-6.97,-34.84,73.4,4.7
262,Veraval,0,FR,1563590222,82,49.65,0.71,68.0,6.93
263,Surab,3,PK,1563590222,41,28.49,66.26,78.19,8.21
264,Vila,0,IT,1563590223,88,45.18,8.4,73.0,6.93
265,Pevek,100,RU,1563590223,96,69.7,170.27,31.57,9.51
266,Lichinga,0,MZ,1563590223,68,-13.3,35.25,58.93,3.22
267,Mizan Teferi,98,ET,1563590224,89,6.99,35.58,61.99,2.59
268,Plettenberg Bay,98,ZA,1563590224,81,-34.05,23.37,47.41,12.71
269,Lishui,1,CN,1563590224,57,28.45,119.91,92.23,0.67
270,Manokwari,2,ID,1563590225,71,-0.87,134.08,80.35,5.57
271,San Cristobal,9,HN,1563590225,90,14.68,-86.92,66.49,3.85
272,Angoche,0,MZ,1563590226,94,-16.23,39.91,63.25,4.18
273,Emirdag,0,TR,1563590226,69,39.02,31.15,59.29,3.69
274,Ciudad del Maiz,0,MX,1563590134,71,22.4,-99.6,72.43,7.25
275,Kununurra,0,AU,1563590227,18,-15.77,128.74,84.2,3.36
276,Faanui,10,PF,1563590227,79,-16.48,-151.75,76.39,19.06
277,Belyy Yar,40,RU,1563590228,93,53.6,91.39,62.6,6.71
278,Tuy Hoa,100,VN,1563590228,47,13.08,109.3,91.69,9.17
279,Port Augusta,0,AU,1563590228,29,-32.49,137.76,66.2,20.8
280,Zyryanka,100,RU,1563590229,47,65.73,150.89,53.17,10.02
281,Karatau,0,KZ,1563590229,24,43.18,70.46,85.03,17.4
282,Baghmara,0,IN,1563590230,65,23.8,86.21,85.39,6.82
283,Maceio,75,BR,1563590230,94,-9.67,-35.74,71.6,8.05
284,Mandal,0,MN,1563590230,69,48.82,106.5,69.01,3.36
285,Long Beach,75,US,1563590231,74,30.35,-89.15,86.0,8.05
286,Sinnamary,80,GF,1563590232,79,5.38,-52.96,80.71,10.2
287,Shaoyang,98,CN,1563590232,83,27.23,111.45,82.69,2.39
288,Snasa,15,NO,1563590233,94,64.25,12.38,49.75,1.52
289,Adrar,83,DZ,1563590233,14,27.87,-0.29,96.8,14.99
290,Bathsheba,40,BB,1563590233,78,13.22,-59.52,80.6,12.75
291,Ciudad Bolivar,53,VE,1563590205,87,8.12,-63.55,77.47,8.93
292,Yangambi,100,CD,1563590234,97,0.77,24.47,70.27,2.26
293,Kaduqli,100,SD,1563590234,81,11.01,29.72,74.23,2.84
294,Qazvin,0,IR,1563590235,72,36.28,50.01,64.4,10.0
295,Kawalu,100,ID,1563590236,91,-7.38,108.21,70.45,4.05
296,Alice Springs,35,AU,1563589982,14,-23.7,133.88,71.6,12.75
297,Port Lincoln,0,AU,1563590236,57,-34.72,135.86,61.99,28.88
298,Waddan,0,LY,1563590237,73,29.16,16.14,69.91,12.17
299,Rocha,0,UY,1563590237,94,-34.48,-54.34,53.89,4.74
300,Kutum,20,SD,1563590153,60,14.2,24.66,76.21,7.31
301,Aleysk,57,RU,1563590238,74,52.5,82.77,67.03,4.59
302,Along,14,IN,1563590238,67,28.17,94.8,72.07,5.08
303,Goderich,100,CA,1563590239,86,43.74,-81.71,80.01,7.0
304,Lalmohan,56,BD,1563590239,65,22.34,90.74,88.99,9.04
305,Ottawa,20,CA,1563590176,78,45.42,-75.69,81.0,6.93
306,Danielskuil,0,ZA,1563590240,96,-28.19,23.54,35.53,8.16
307,Rio Branco do Sul,90,BR,1563590240,93,-25.19,-49.31,55.99,4.7
308,Tigil,99,RU,1563590240,66,57.8,158.67,68.47,22.26
309,Prainha,33,BR,1563590241,81,-1.8,-53.48,74.95,3.11
310,Rakai,84,UG,1563590241,68,-0.71,31.4,66.49,2.55
311,Yagodnoye,100,RU,1563590242,93,62.52,149.63,39.13,7.43
312,Tiznit,78,MA,1563590242,94,29.7,-9.73,66.85,8.3
313,Palmer,0,AU,1563590243,42,-34.85,139.16,68.0,23.04
314,Surgut,0,RU,1563590243,78,61.25,73.4,73.4,4.47
315,Taranagar,0,IN,1563590243,56,28.67,75.04,89.35,4.21
316,Gao,100,ML,1563590244,45,16.28,-0.04,85.21,21.59
317,Itapaci,0,BR,1563590244,40,-14.95,-49.55,70.81,13.56
318,Ranong,75,TH,1563590244,100,9.96,98.62,78.8,3.36
319,Markivka,0,UA,1563590245,85,49.52,39.57,61.09,4.65
320,Kodiak,20,US,1563590245,62,39.95,-94.76,89.6,12.75
321,Moron,31,HT,1563590245,77,18.56,-74.26,80.89,3.53
322,Girardot,75,CO,1563590246,69,4.31,-74.8,75.2,5.82
323,Tabou,100,CI,1563590246,94,4.42,-7.36,73.15,6.11
324,Knysna,98,ZA,1563590247,81,-34.04,23.05,44.6,11.41
325,Norrtalje,0,SE,1563590247,93,59.76,18.7,55.99,2.24
326,Los Llanos de Aridane,90,ES,1563590247,64,28.66,-17.92,73.4,20.8
327,Byron Bay,1,AU,1563590248,55,-28.65,153.62,73.0,4.7
328,Airai,0,TL,1563590248,43,-8.93,125.41,84.31,4.32
329,Cape Coast,100,GH,1563590248,90,5.11,-1.24,75.49,11.43
330,Balkhash,0,KZ,1563590249,26,46.84,74.98,78.8,22.37
331,Honggang,67,CN,1563590249,64,29.51,114.87,87.19,4.65
332,Brae,100,GB,1563590250,93,60.4,-1.35,57.2,17.22
333,Santa Fe,0,AR,1563590040,83,-31.62,-60.7,61.0,5.01
334,Turtas,0,RU,1563590250,48,58.94,69.13,75.31,2.53
335,Fortuna,40,US,1563590251,67,40.6,-124.16,62.01,13.87
336,Saskylakh,98,RU,1563590251,35,71.97,114.09,69.73,15.59
337,Prince Rupert,90,CA,1563589991,82,54.32,-130.32,60.8,3.36
338,Bull Savanna,1,JM,1563590252,73,17.89,-77.59,84.13,8.99
339,Chodavaram,90,IN,1563590252,94,17.44,81.78,80.6,5.82
340,Grindavik,75,IS,1563590252,93,63.84,-22.43,53.01,10.29
341,Fukue,75,JP,1563590253,83,35.03,136.69,86.0,9.17
342,Tuatapere,100,NZ,1563590170,97,-46.13,167.69,48.99,8.99
343,Salinas,90,US,1563590253,72,36.67,-121.66,66.99,13.87
344,Amahai,66,ID,1563590254,86,-3.31,129.0,77.65,12.33
345,Lagunillas,100,VE,1563590254,75,8.5,-71.39,66.31,8.3
346,Perez,94,PH,1563590255,53,14.19,121.92,89.53,3.53
347,Constitucion,90,MX,1563590255,72,23.99,-104.67,62.6,7.14
348,Mocuba,0,MZ,1563590255,87,-16.84,36.99,61.09,5.21
349,Windsor,1,US,1563590088,61,42.3,-83.03,81.0,8.03
350,Kilinochchi,11,LK,1563590256,72,9.4,80.4,83.59,13.27
351,Port Hardy,75,CA,1563590257,77,50.7,-127.42,60.8,8.05
352,Sarakhs,0,TM,1563590257,34,36.54,61.16,80.6,10.49
353,Olinda,0,AU,1563590257,62,-37.84,145.39,63.0,23.04
354,Vila do Maio,75,CV,1563590258,73,15.13,-23.22,77.0,12.75
355,La Tuque,43,CA,1563590258,77,47.44,-72.79,67.21,2.62
356,Novobirilyussy,0,RU,1563590259,51,56.95,90.69,67.21,8.19
357,Nantucket,90,US,1563590259,94,41.28,-70.1,75.2,11.41
358,Kurilsk,100,RU,1563590259,89,45.23,147.88,58.21,4.74
359,Lavrentiya,100,RU,1563590260,70,65.58,-170.99,59.83,10.56
360,Great Bend,1,US,1563590260,48,38.36,-98.78,89.6,12.75
361,Chara,0,GR,1563590261,82,39.42,22.43,73.0,1.3
362,Lerwick,100,GB,1563590261,93,60.15,-1.15,57.2,9.17
363,Saint Anthony,1,US,1563590261,31,43.97,-111.68,75.2,16.11
364,Huarmey,0,PE,1563590262,88,-10.07,-78.15,61.81,10.02
365,Llata,0,PE,1563590262,94,-9.55,-76.82,33.19,2.01
366,Havelock,1,US,1563590074,74,34.88,-76.9,84.2,11.41
367,Ardesen,75,TR,1563590263,94,41.19,40.99,69.8,6.93
368,Boleslawiec,59,PL,1563590263,94,51.26,15.57,60.01,4.65
369,Leh,0,IN,1563590263,35,34.16,77.58,43.45,3.06
370,College,90,US,1563590264,46,64.86,-147.8,69.8,10.29
371,Zhangye,98,CN,1563590264,22,38.94,100.46,78.01,3.18
372,Realeza,33,BR,1563590264,94,-25.77,-53.53,55.69,3.36
373,Porto Novo,0,BR,1563590265,87,-23.68,-45.44,57.2,2.24
374,Hoopstad,0,ZA,1563590265,91,-27.83,25.91,38.59,8.05
375,Dongsheng,42,CN,1563590265,64,29.72,112.52,88.99,2.33
